"Мир, природа",,
daughter,[ˈdɔːtə] ,дочь
baby,[ˈbeɪbi] ,маленький ребенок
"children, kids",[ˈʧɪldrən] [kɪdz] ,дети
teenager,[ˈtiːnˌeɪʤə] ,подросток
aunt,[ɑːnt] ,тетя
uncle,[ˈʌŋkl] ,дядя
niece,[niːs] ,племянница
nephew,[ˈnɛvju(ː)] ,племянник
girlfriend,[ˈgɜːlˌfrɛnd] ,девушка (подруга)
boyfriend,[ˈbɔɪˌfrɛnd] ,парень (бойфренд)
friend,[frɛnd] ,друг
relatives,[ˈrɛlətɪvz] ,родственники
engagement,[ɪnˈgeɪʤmənt] ,помолвка
marriage,[ˈmærɪʤ] ,женитьба
wedding,[ˈwɛdɪŋ] ,свадьба
"fiancée, bride","fiancé[iː], [braɪd] ",невеста
"fiancé, groom (bridegroom)","fiancé, [grʊm] [ˈbraɪdgrʊm]",жених
Взаимоотношения,,
relationships,[rɪˈleɪʃənʃɪps] ,отношения 
love,[lʌv] ,любовь
friendship,[ˈfrɛndʃɪp] ,дружба
date,[deɪt] ,свидание
proposal,[prəˈpəʊzəl] ,предложение 
affair,[əˈfeə] ,любовная связь (роман)
lover,[ˈlʌvə] ,"любовник, любовница"
understanding,[ˌʌndəˈstændɪŋ] ,понимание 
jealousy,[ˈʤɛləsi] ,ревность
betrayal,[bɪˈtreɪəl] ,предательство
argument,[ˈɑːgjʊmənt] ,"спор, ссора"
quarrel,[ˈkwɒrəl] ,ссора
divorce,[dɪˈvɔːs] ,развод
influence,[ˈɪnflʊəns] ,влияние 
smile,[smaɪl] ,улыбка 
visit,[ˈvɪzɪt] ,визит 
respect,[rɪsˈpɛkt] ,уважение 
surprise,[səˈpraɪz] ,сюрприз 
fun,[fʌn] ,веселье
guest,[gɛst] ,гость 
neighbor,[ˈneɪbə] ,сосед 
stranger,[ˈstreɪnʤə],незнакомец 
Сотрудничество,,
team,[tiːm] ,команда 
support,[səˈpɔːt] ,поддержка 
help,[hɛlp] ,помощь 
partner,[ˈpɑːtnə] ,партнер 
participant,[pɑːˈtɪsɪpənt] ,участник 
gift,[gɪft] ,подарок (дар) 
colleague,[ˈkɒliːg] ,коллега 
present,[ˈprɛznt] ,подарок
good,[gʊd] ,польза (добро)
cooperation,[kəʊˌɒpəˈreɪʃən] ,сотрудничество 
challenge,[ˈʧælɪnʤ] ,"вызов, трудная задача"
difficulty,[ˈdɪfɪkəlti] ,трудность 
struggle,[ˈstrʌgl] ,борьба 
resolution,[ˌrɛzəˈluːʃən] ,"решение (задачи, проблемы)"
competition,[ˌkɒmpɪˈtɪʃən] ,конкуренция
assistance,[əˈsɪstəns] ,помощь 
opponent,[əˈpəʊnənt] ,оппонент
trouble,[ˈtrʌbl] ,беда 
conflict,[ˈkɒnflɪkt] ,конфликт 
criticism,[ˈkrɪtɪsɪzm] ,критика 
request,[rɪˈkwɛst] ,запрос 
participation,[pɑːˌtɪsɪˈpeɪʃən] ,участие 
trust,[trʌst] ,доверие 
complaint,[kəmˈpleɪnt] ,жалоба 
consequence,[ˈkɒnsɪkwəns] ,последствие 
thanks,[θæŋks] ,благодарности
contribution,[ˌkɒntrɪˈbjuːʃən] ,вклад 
circumstance,[ˈsɜːkəmstəns] ,обстоятельство 
offer,[ˈɒfə] ,предложение 
occasion,[əˈkeɪʒən] ,случай (возможность)
"Живопись, фотография",,
drawing,[ˈdrɔːɪŋ] ,рисунок 
art,[ɑːt] ,"искусство, изобразительное искусство (и произведения)"
event,[ɪˈvɛnt] ,мероприятие 
image,[ˈɪmɪʤ] ,изображение 
picture,[ˈpɪkʧə] ,"картина, фото"
artist,[ˈɑːtɪst] ,художник 
design,[dɪˈzaɪn] ,"дизайн, разработка"
style,[staɪl] ,стиль 
painting,[ˈpeɪntɪŋ] ,"живопись, картина"
camera,[ˈkæmərə] ,"фотокамера, видеокамера"
photo,[ˈfəʊtəʊ] ,фото 
culture,[ˈkʌlʧə] ,культура 
background,[ˈbækgraʊnd] ,"фон, опыт, происхождение человека"
photograph,[ˈfəʊtəgrɑːf] ,фотография 
exhibition,[ˌɛksɪˈbɪʃən] ,выставка 
portrait,[ˈpɔːtrɪt] ,портрет 
paint,[peɪnt] ,краска 
pencil,[ˈpɛnsl] ,карандаш
charcoal,[ˈʧɑːkəʊl] ,уголь (худ.)
brush,[brʌʃ] ,кисть
pen,[pɛn] ,авторучка
"Кино, театр, музыка",,
movie,[ˈmuːvi] ,фильм 
film,[fɪlm] ,фильм (кино\фотопленка)
play,[pleɪ] ,пьеса
audience,[ˈɔːdjəns] ,аудитория (зрители)
video,[ˈvɪdɪəʊ] ,видео 
actor,[ˈæktə] ,актер 
series,[ˈsɪəriːz] ,"серия, сериал"
stage,[steɪʤ] ,сцена (место)
dancer,[ˈdɑːnsə] ,танцор
studio,[ˈstjuːdɪəʊ] ,студия 
theater,[ˈθɪətə] ,театр 
viewer,[ˈvjuːə] ,зритель 
script (screenplay),[skrɪpt] [ˈskriːnpleɪ],сценарий 
celebrity,[sɪˈlɛbrɪti] ,знаменитость
scene,[siːn] ,сцена 
song,[sɒŋ] ,песня 
band,[bænd] ,группа (муз.)
singer,[ˈsɪŋə] ,певец 
musician,[mju(ː)ˈzɪʃən] ,музыкант 
performance ,[pəˈfɔːməns],выступление
dance,[dɑːns] ,танец 
concert,[ˈkɒnsə(ː)t] ,концерт 
bell,[bɛl] ,колокольчик (колокол)
string,[strɪŋ] ,струна
story,[ˈstɔːri] ,история 
guitar,[gɪˈtɑː] ,гитара
piano,[pɪˈænəʊ]  [ˈpjɑːnəʊ],пианино
music,[ˈmjuːzɪk] ,музыка 
role,[rəʊl] ,роль 
show,[ʃəʊ] ,шоу 
Литература,,
book,[bʊk] ,книга
author,[ˈɔːθə] ,автор 
page,[peɪʤ] ,страница 
language,[ˈlæŋgwɪʤ] ,язык 
article,[ˈɑːtɪkl] ,статья (напр. в газете)
character,[ˈkærɪktə] ,характер (персонаж)
reader,[ˈriːdə] ,читатель 
text,[tɛkst] ,текст 
title,[ˈtaɪtl] ,название 
critic,[ˈkrɪtɪk] ,критик 
context,[ˈkɒntɛkst] ,контекст 
writing,[ˈraɪtɪŋ] ,"написание, почерк, процесс письма"
literature,[ˈlɪtərɪʧə] ,литература 
reading,[ˈriːdɪŋ] ,чтение 
novel,[ˈnɒvəl] ,роман 
tale,[teɪl] ,"сказка, история"
story,[ˈstɔːri] ,"история, рассказ"
mystery,[ˈmɪstəri] ,"тайна, мистика"
publication,[ˌpʌblɪˈkeɪʃən] ,публикация 
poem,[ˈpəʊɪm] ,стихотворение 
essay,[ˈɛseɪ] ,"эссе, сочинение"
drama,[ˈdrɑːmə] ,"драма, телевизионная или театральная постановка"
fiction,[ˈfɪkʃən] ,вымысел
journal,[ˈʤɜːnl] ,дневник (журнал)
episode,[ˈɛpɪsəʊd] ,эпизод 
adventure,[ədˈvɛnʧə] ,приключение
tragedy,[ˈtræʤɪdi] ,трагедия 
poet,[ˈpəʊɪt] ,поэт 
poetry,[ˈpəʊɪtri] ,поэзия 
plot,[plɒt] ,сюжет 
writer,[ˈraɪtə] ,писатель 
Религия,,
god,[gɒd] ,бог
devil,[ˈdɛvl],дьявол
belief,[bɪˈliːf] ,вера 
religion,[rɪˈlɪʤən] ,религия 
paradise,[ˈpærədaɪs] ,рай
hell,[hɛl] ,ад 
faith,[feɪθ] ,вера 
prayer,[preə] ,молитва 
priest,[priːst] ,священник 
heaven,[ˈhɛvn] ,небеса 
Bible,[ˈbaɪbl] ,Библия 
sin,[sɪn] ,грех
church,[ʧɜːʧ] ,церковь 
creation,[kri(ː)ˈeɪʃən] ,создание (акт/процесс создания)
being,[ˈbiːɪŋ] ,бытие
spirit,[ˈspɪrɪt] ,дух 
existence,[ɪgˈzɪstəns] ,существование 
christian,[ˈkrɪstjən] ,христианин
muslim,[ˈmʊslɪm] ,мусульманин
buddhist,[ˈbʊdɪst] ,буддист
Спорт,,
player,[ˈpleɪə] ,игрок 
sport,[spɔːt] ,спорт 
race,[reɪs] ,гонка 
seat,[siːt] ,сиденье (место)
ball,[bɔːl] ,мяч 
score,[skɔː] ,счет (в игре)
turn,[tɜːn] ,ход (напр. в игре)
fan,[fæn],болельщик (поклонник)
run (running),[rʌn] ,бег
exercise,[ˈɛksəsaɪz] ,упражнение 
"workout, training","[ˈwɜːkaʊt], [ˈtreɪnɪŋ] ",тренировка
athlete,[ˈæθliːt] ,спортсмен 
basketball,[ˈbɑːskɪtˌbɔːl] ,баскетбол 
football,[ˈfʊtbɔːl] ,футбол 
soccer,[ˈsɒkə] ,футбол
hockey,[ˈhɒki] ,хоккей
chess,[ʧɛs],шахматы
league,[liːg] ,лига 
championship,[ˈʧæmpjənʃɪp] ,чемпионат 
round,[raʊnd] ,раунд
match,[mæʧ] ,матч 
champion,[ˈʧæmpjən] ,чемпион
tournament,[ˈtʊənəmənt] ,турнир 
game,[geɪm] ,игра 
"stake, bet","[steɪk], [bɛt] ",ставка
winner,[ˈwɪnə] ,победитель 
loser,[ˈluːzə] ,проигравший
Общение,,
question,[ˈkwɛsʧən] ,вопрос 
note,[nəʊt] ,"примечание, заметка, записка"
statement,[ˈsteɪtmənt] ,заявление 
conference,[ˈkɒnfərəns] ,конференция 
detail,[ˈdiːteɪl] ,деталь (подробность)
comment,[ˈkɒmɛnt] ,комментарий 
advice,[ədˈvaɪs] ,"советы, совет"
"theme, topic","[θiːm], [ˈtɒpɪk] ",тема 
appeal,[əˈpiːl] ,обращение 
secret,[ˈsiːkrɪt] ,секрет 
tip,[tɪp] ,совет
tone,[təʊn] ,тон 
promise,[ˈprɒmɪs] ,обещание 
sentence ,[ˈsɛntəns]  ,предложение (лингв.)
explanation,[ˌɛkspləˈneɪʃən] ,объяснение 
alternative,[ɔːlˈtɜːnətɪv] ,альтернатива 
interaction,[ˌɪntərˈækʃən] ,взаимодействие 
warning,[ˈwɔːnɪŋ] ,предупреждение 
description,[dɪsˈkrɪpʃən] ,описание 
exposure (of a secret),[ɪksˈpəʊʒə],раскрытие (чего-то тайного)
joke,[ʤəʊk] ,шутка 
negotiation,[nɪˌgəʊʃɪˈeɪʃən] ,переговоры 
involvement,[ɪnˈvɒlvmənt] ,участие (вовлеченность)
emphasis,[ˈɛmfəsɪs] ,акцент (ударение) на что-то
suggestion,[səˈʤɛsʧən] ,предложение (т.е. предложить что-то)
approval,[əˈpruːvəl] ,подтверждение
phrase,[freɪz] ,фраза 
dispute,[dɪsˈpjuːt],спор 
dialogue,[ˈdaɪəlɒg] ,диалог 
lie,[laɪ] ,ложь 
introduction,[ˌɪntrəˈdʌkʃən] ,"введение, представление (при знакомстве)"
representation,[ˌrɛprɪzɛnˈteɪʃən] ,"представление, представительство"
instance,[ˈɪnstəns] ,пример
letter,[ˈlɛtə] ,письмо 
response,[rɪsˈpɒns] ,ответ 
answer,[ˈɑːnsə] ,ответ 
talk,[tɔːk] ,обсуждение (разговор)
discussion,[dɪsˈkʌʃən] ,обсуждение 
debate,[dɪˈbeɪt] ,дебаты
conversation,[ˌkɒnvəˈseɪʃən] ,разговор
argument,[ˈɑːgjʊmənt] ,аргумент 
exchange,[ɪksˈʧeɪnʤ] ,обмен 
expression,[ɪksˈprɛʃən] ,выражение 
abuse,[əˈbjuːs] ,"плохое отношение, причинение вреда"
Учеба,,
study,[ˈstʌdi] ,изучение (исследование)
campus,[ˈkæmpəs] ,кампус 
curriculum,[kəˈrɪkjʊləm] ,учебный план 
laboratory (lab),[ləˈbɒrətəri] [læb],лаборатория 
graduate,[ˈgrædjʊət] ,выпускник 
"mark (US), grade (UK)",[mɑːk] [greɪd] ,"оценка, отметка"
library,[ˈlaɪbrəri] ,библиотека 
discipline,[ˈdɪsɪplɪn] ,дисциплина 
major,[ˈmeɪʤə] ,специальность (в учебе)
educator,[ˈɛdju(ː)keɪtə] ,педагог 
testing,[ˈtɛstɪŋ] ,тестирование 
specialist,[ˈspɛʃəlɪst] ,специалист 
teacher,[ˈtiːʧə] ,учитель 
professor,[prəˈfɛsə] ,профессор
school,[skuːl] ,школа 
student,[ˈstjuːdənt] ,студент 
history,[ˈhɪstəri] ,история 
education,[ˌɛdju(ː)ˈkeɪʃən] ,образование 
college,[ˈkɒlɪʤ] ,колледж 
class,[klɑːs] ,"класс, урок"
test,[tɛst] ,тест
degree,[dɪˈgriː] ,степень (в т.ч. ученая степень)
training,[ˈtreɪnɪŋ] ,обучение 
knowledge,[ˈnɒlɪʤ] ,знание 
coach ,[kəʊʧ]  ,тренер 
university,[ˌjuːnɪˈvɜːsɪti] ,университет 
lesson,[ˈlɛsn] ,урок 
failure,[ˈfeɪljə] ,неудача
learning,[ˈlɜːnɪŋ] ,"изучение, процесс учебы"
classroom,[ˈklɑːsrʊm] ,класс (помещение)
session,[ˈsɛʃən] ,"сеанс, период работы, деятельности, учебы"
preparation,[ˌprɛpəˈreɪʃən] ,подготовка 
draft,[drɑːft] ,набросок (черновик)
set,[sɛt] ,набор 
Наука,,
research,[rɪˈsɜːʧ] ,исследование 
term,[tɜːm] ,термин
professor,[prəˈfɛsə] ,профессор 
science,[ˈsaɪəns] ,наука (естественная)
expert,[ˈɛkspɜːt] ,эксперт 
theory,[ˈθɪəri] ,теория 
method,[ˈmɛθəd] ,метод 
pattern,[ˈpætən] ,"модель, схема"
scientist,[ˈsaɪəntɪst] ,ученый 
speech,[spiːʧ] ,речь 
concept,[ˈkɒnsɛpt] ,"концепция, идея"
researcher,[rɪˈsɜːʧə] ,исследователь 
scale,[skeɪl] ,шкала 
survey,[ˈsɜːveɪ] ,опрос 
sample,[ˈsɑːmpl] ,образец 
technique,[tɛkˈniːk] ,техника (прием)
principle,[ˈprɪnsəpl] ,принцип 
aspect,[ˈæspɛkt] ,"аспект, сторона"
experiment,[ɪksˈpɛrɪmənt] ,эксперимент 
scholar,[ˈskɒlə] ,ученый (исследователь)
observation,[ˌɒbzə(ː)ˈveɪʃən] ,наблюдение 
error,[ˈɛrə] ,ошибка 
discovery,[dɪsˈkʌvəri] ,открытие 
philosophy,[fɪˈlɒsəfi] ,философия 
phenomenon,[fɪˈnɒmɪnən] ,"феномен, явление"
historian,[hɪsˈtɔːrɪən] ,историк 
origin,[ˈɒrɪʤɪn] ,происхождение 
satellite,[ˈsætəlaɪt] ,спутник
telescope,[ˈtɛlɪskəʊp] ,телескоп 
object,[ˈɒbʤɪkt] ,объект 
Государство и общество,,
government,[ˈgʌv(ə)nmənt] ,правительство 
right,[raɪt] ,право 
power,[ˈpaʊə] ,власть
member,[ˈmɛmbə] ,член
community,[kəˈmjuːnɪti] ,сообщество 
president,[ˈprɛzɪdənt] ,президент 
party,[ˈpɑːti] ,партия 
leader,[ˈliːdə] ,лидер 
official,[əˈfɪʃəl] ,официальное лицо
administration,[ədˌmɪnɪsˈtreɪʃ(ə)n] ,администрация 
campaign,[kæmˈpeɪn] ,кампания 
terrorism,[ˈtɛrərɪzm] ,терроризм 
election,[ɪˈlɛkʃən] ,выборы 
authority,[ɔːˈθɒrɪti] ,полномочия (власть)
peace,[piːs] ,мир (мирное время)
politics,[ˈpɒlɪtɪks] ,политика 
candidate,[ˈkændɪdɪt] ,кандидат 
institution,[ˌɪnstɪˈtjuːʃən] ,учреждение 
vote,[vəʊt] ,голос (на выборах)
citizen,[ˈsɪtɪzn] ,гражданин 
reform,[rɪˈfɔːm] ,реформа 
act,[ækt] ,акт 
freedom,[ˈfriːdəm] ,свобода 
department,[dɪˈpɑːtmənt] ,департамент
crisis,[ˈkraɪsɪs] ,кризис 
committee,[ˌkɒmɪˈtiː] ,комитет 
voter,[ˈvəʊtə] ,избиратель 
democracy,[dɪˈmɒkrəsi] ,демократия 
poll,[pəʊl] ,опрос 
minority,[maɪˈnɒrɪti] ,меньшинство 
majority,[məˈʤɒrɪti] ,большинство
union,[ˈjuːnjən] ,"союз, профсоюз"
regulation,[ˌrɛgjʊˈleɪʃən] ,"регулирование, правила"
politician,[ˌpɒlɪˈtɪʃən] ,политик 
governor,[ˈgʌvənə] ,губернатор 
rating,[ˈreɪtɪŋ] ,рейтинг 
regime,[reɪˈʒiːm] ,режим (правления)
opposition,[ˌɒpəˈzɪʃən] ,оппозиция 
minister,[ˈmɪnɪstə] ,министр 
intervention,[ˌɪntə(ː)ˈvɛnʃən] ,вмешательство 
coalition,[ˌkəʊəˈlɪʃən] ,коалиция 
independence,[ˌɪndɪˈpɛndəns] ,независимость 
king,[kɪŋ] ,король 
convention,[kənˈvɛnʃən] ,съезд
revolution,[ˌrɛvəˈluːʃən] ,революция 
senator,[ˈsɛnətə] ,сенатор 
founder,[ˈfaʊndə] ,основатель 
council,[ˈkaʊns(ə)l] ,совет (совещание)
activist,[ˈæktɪvɪst] ,активист 
people,[ˈpiːpl] ,люди (народ) 
state ,[steɪt] ,"государство, штат"
group,[gruːp] ,группа 
country,[ˈkʌntri] ,"страна, сельская местность"
nation,[ˈneɪʃən] ,"нация, народ, страна"
society,[səˈsaɪəti] ,общество 
land,[lænd] ,"земля (территория), страна"
population,[ˌpɒpjʊˈleɪʃən] ,население 
region,[ˈriːʤən] ,регион
public,[ˈpʌblɪk] ,общественность
status,[ˈsteɪtəs] ,статус
farm,[fɑːm] ,ферма 
folk,[fəʊk] ,народ
border,[ˈbɔːdə] ,граница
map,[mæp] ,карта 
holiday,[ˈhɒlədeɪ] ,праздник 
immigrant,[ˈɪmɪgrənt] ,иммигрант 
territory,[ˈtɛrɪtəri] ,территория 
volunteer,[ˌvɒlənˈtɪə] ,доброволец
symbol,[ˈsɪmbəl] ,символ 
immigration,[ˌɪmɪˈgreɪʃən] ,иммиграция 
supporter,[səˈpɔːtə] ,сторонник
strike,[straɪk] ,забастовка 
speaker,[ˈspiːkə] ,спикер (выступающий с речью)
refugee,[ˌrɛfju(ː)ˈʤiː] ,беженец
cabinet ,[ˈkæbɪnɪt]  ,кабинет министров
spokesman,[ˈspəʊksmən] ,"докладчик, оратор"
slave,[sleɪv] ,раб 
terror,[ˈtɛrə] ,"террор, ужас"
elite,[eɪˈliːt] ,элита 
conservative,[kənˈsɜːvətɪv] ,консерватор
protest,[ˈprəʊtɛst] ,протест 
shelter,[ˈʃɛltə] ,приют 
tribe,[traɪb] ,племя 
Армия,,
ally,[ˈælaɪ] ,союзник 
army,[ˈɑːmi] ,армия 
military,[ˈmɪlɪtəri] ,"вооруженные силы, военные"
enemy,[ˈɛnɪmi] ,враг
combat,[ˈkɒmbæt] ,сражение
strategy,[ˈstrætɪʤi] ,стратегия 
tactics,[ˈtæktɪks] ,тактика
soldier,[ˈsəʊlʤə] ,солдат 
officer,[ˈɒfɪsə] ,"офицер, должностное лицо"
troops,[truːps] ,войска (пехота)
victory,[ˈvɪktəri] ,победа 
defeat,[dɪˈfiːt] ,поражение
hero,[ˈhɪərəʊ] ,герой 
commander,[kəˈmɑːndə] ,командир 
flag,[flæg] ,флаг 
banner,[ˈbænə] ,знамя
rank,[ræŋk] ,звание 
war,[wɔː] ,война 
battle,[ˈbætl] ,битва 
shot,[ʃɒt] ,выстрел 
fight,[faɪt] ,борьба (драка)
bomb,[bɒm] ,бомба 
bullet,[ˈbʊlɪt] ,пуля 
shell,[ʃɛl],снаряд
missile,['mɪsaɪl],"ракета, реактивный снаряд"
ammunition (сокр. ammo),[ˌæmjə'nɪʃ(ə)n] ['æməu],боеприпасы
shooting,[ˈʃuːtɪŋ] ,стрельба 
casualty,['kæʒjuəltɪ],жертва
weapon,[ˈwɛpən] ,оружие 
gun,gʌn] ,"пистолет, оружие"
machine gun,[məˈʃiːn gʌn] ,пулемет
rifle,[ˈraɪfl] ,винтовка
armor,[ˈɑːmə] ,броня
attack,[əˈtæk] ,атака 
general,[ˈʤɛnərəl] ,генерал
division,[dɪˈvɪʒən] ,дивизия (подразделение)
unit,[ˈjuːnɪt] ,войсковая единица
"Экономика, бизнес",,
price,[praɪs] ,цена 
tax,[tæks] ,налог 
cost,[kɒst] ,стоимость 
product,[ˈprɒdʌkt] ,продукт (товар)
organization,[ˌɔːgənaɪˈzeɪʃən] ,организация 
economy,[i(ː)ˈkɒnəmi] ,экономика 
bank,[bæŋk] ,банк
agency,[ˈeɪʤənsi] ,агентство 
store,[stɔː] ,магазин (склад) 
fund,[fʌnd] ,фонд 
stock ,[stɒk],акция
loss,[lɒs] ,ущерб
trade,[treɪd] ,торговля 
deal,[diːl] ,сделка 
bill,[bɪl] ,счет (напр. в ресторане) 
benefit,[ˈbɛnɪfɪt] ,выгода 
firm,[fɜːm] ,фирма 
management,[ˈmænɪʤmənt] ,управление (руководящий состав)
charge,[ʧɑːʤ] ,плата (цена)
property,[ˈprɒpəti] ,собственность
base,[beɪs] ,"база, основание"
owner,[ˈəʊnə] ,владелец 
investment,[ɪnˈvɛstmənt] ,инвестиции 
consumer,[kənˈsjuːmə] ,потребитель 
budget,[ˈbʌʤɪt] ,бюджет 
agreement,[əˈgriːmənt] ,соглашение 
capital,[ˈkæpɪtl] ,капитал 
account,[əˈkaʊnt] ,счет (в банке)
credit,[ˈkrɛdɪt] ,кредит 
income,[ˈɪnkʌm] ,доход 
insurance,[ɪnˈʃʊərəns] ,страхование 
sales,[seɪlz] ,продажи
contract,[ˈkɒntrækt] ,контракт 
demand,[dɪˈmɑːnd] ,спрос (требование)
share,[ʃeə] ,"доля, акция"
competition,[ˌkɒmpɪˈtɪʃən] ,конкуренция
claim,[kleɪm] ,"претензия, заявление"
supply (econom.),[səˈplaɪ],предложение (эконом.)
supply (provision),[səˈplaɪ],обеспечение (материальное)
market,[ˈmɑːkɪt] ,рынок 
assessment,[əˈsɛsmənt] ,оценка 
revenue,[ˈrɛvɪnjuː] ,доход 
loan,[ləʊn] ,кредит (заем)
investor,[ɪnˈvɛstə] ,инвестор 
profit,[ˈprɒfɪt] ,прибыль 
cash,[kæʃ] ,наличные 
advertisement (сокр. ad),[ədˈvɜːtɪsmənt]  [æd],реклама (объявление)
real estate,[rɪəl ɪsˈteɪt] ,недвижимость
branch,[brɑːnʧ] ,филиал 
fee,[fiː] ,плата (вознаграждение)
division,[dɪˈvɪʒən] ,подразделение (административное\политическое)
debt,[dɛt] ,"долг (в значении ""денежный долг"")"
check,[ʧɛk] ,чек
check,[ʧɛk] ,проверка
welfare,[ˈwɛlfeə] ,"благосостояние, пособие по безработице"
representative,[ˌrɛprɪˈzɛntətɪv] ,представитель 
association,[əˌsəʊsɪˈeɪʃ(ə)n] ,ассоциация 
asset,[ˈæsɛt] ,актив (вклад)
payment,[ˈpeɪmənt] ,оплата 
expense,[ɪksˈpɛns] ,расход
