"Мир, природа",,
funding,[ˈfʌndɪŋ] ,финансирование 
savings,[ˈseɪvɪŋz] ,сбережения
gain,[geɪn] ,прибыль
sale,[seɪl] ,продажа (распродажа)
foundation,[faʊnˈdeɪʃən] ,основание (создание чего-то)
goods,[gʊdz] ,товары
marketing,[ˈmɑːkɪtɪŋ] ,маркетинг 
poverty,[ˈpɒvəti] ,бедность 
spendings,[ˈspɛndɪŋz] ,расходы 
evaluation,[ɪˌvæljʊˈeɪʃən] ,оценка 
commission,[kəˈmɪʃən] ,комиссия 
deficit,[ˈdɛfɪsɪt] ,дефицит 
estimate,[ˈɛstɪmɪt] ,оценка 
enterprise,[ˈɛntəpraɪz] ,предприятие 
employment,[ɪmˈplɔɪmənt] ,трудовая занятость
wealth,[wɛlθ] ,богатство 
brand,[brænd] ,бренд 
stake,[steɪk] ,акция
corporation,[ˌkɔːpəˈreɪʃən] ,корпорация 
provision,[prəˈvɪʒən] ,"снабжение, обеспечение"
fortune,[ˈfɔːʧən] ,состояние (денежн.)
shopping,[ˈʃɒpɪŋ] ,покупка товаров 
finance,[faɪˈnæns] ,финансы 
transfer,[ˈtrænsfə(ː)] ,"передача, перевод (напр. денежный)"
treaty,[ˈtriːti] ,"договор (между странами), переговоры"
licence (Br.) license (Am.),[ˈlaɪsəns],лицензия 
establishment,[ɪsˈtæblɪʃmənt] ,основание (создание чего-то)
partnership,[ˈpɑːtnəʃɪp] ,партнерство 
buyer,[ˈbaɪə] ,покупатель 
stability,[stəˈbɪlɪti] ,стабильность 
customer,[ˈkʌstəmə] ,"клиент, покупатель"
client,[ˈklaɪənt] ,клиент 
package,[ˈpækɪʤ] ,посылка
business,[ˈbɪznɪs] ,бизнес 
Промышленность,,
resource,[rɪˈsɔːs] ,ресурс 
oil,[ɔɪl] ,нефть
gas,[gæs] ,газ (бензин)
industry,[ˈɪndəstri] ,промышленность 
technology,[tɛkˈnɒləʤi] ,технология 
energy,[ˈɛnəʤi] ,энергия 
plant ,[plɑːnt]  ,завод
machine,[məˈʃiːn] ,машина (напр.станок)
facility,[fəˈsɪlɪti] ,промышленное здание
equipment,[ɪˈkwɪpmənt] ,оборудование 
manufacturer,[ˌmænjʊˈfækʧərə] ,производитель 
mine,[maɪn] ,шахта
factory,[ˈfæktəri] ,фабрика
engineering,[ˌɛnʤɪˈnɪərɪŋ] ,инженерия
storage,[ˈstɔːrɪʤ] ,"хранилище, хранение"
production,[prəˈdʌkʃən] ,производство 
silver,[ˈsɪlvə] ,серебро 
gold,[gəʊld] ,золото 
crop,[krɒp] ,урожай 
maker,[ˈmeɪkə] ,производитель 
waste,[weɪst] ,отходы
"Работа, карьера",,
case,[keɪs] ,дело (случай)
company,[ˈkʌmpəni] ,компания 
work,[wɜːk] ,работа 
money,[ˈmʌni] ,деньги 
job,[ʤɒb] ,работа 
service,[ˈsɜːvɪs] ,услуга (обслуживание) 
office,[ˈɒfɪs] ,офис 
policy,[ˈpɒlɪsi] ,"политика (в знач. стратегия, линия поведения)"
plan,[plæn] ,план 
control,[kənˈtrəʊl] ,контроль 
report,[rɪˈpɔːt] ,отчет (доклад)
site,[saɪt] ,объект (напр. строительный) 
performance,[pəˈfɔːməns] ,производительность
effort,[ˈɛfət] ,усилие (труд)
action,[ˈækʃ(ə)n] ,действие 
activity,[ækˈtɪvɪti] ,деятельность 
practice,[ˈpræktɪs] ,практика
skill,[skɪl] ,"умение, навык"
order,[ˈɔːdə] ,"порядок, приказ, заказ"
meeting,[ˈmiːtɪŋ] ,встреча 
operation,[ˌɒpəˈreɪʃən] ,операция 
interview,[ˈɪntəvjuː] ,интервью (собеседование)
quality,[ˈkwɒlɪti] ,качество 
success,[səkˈsɛs] ,успех 
task,[tɑːsk] ,задача 
break ,[breɪk]  ,перерыв 
mission,[ˈmɪʃən] ,миссия 
labor,[ˈleɪbə] ,труд
weekend,[ˈwiːkˈɛnd] ,"уикэнд, выходные (сб, вс)"
attempt,[əˈtɛmpt] ,попытка 
day off,[deɪ ɒf] ,выходной день
lack (of something),[læk] ,нехватка
target,[ˈtɑːgɪt] ,цель 
tool,[tuːl] ,инструмент 
leadership,[ˈliːdəʃɪp] ,руководство (лидерство)
procedure,[prəˈsiːʤə] ,процедура (порядок выполнения действий)
document,[ˈdɒkjʊmənt] ,документ 
contacts,[ˈkɒntækts] ,контактные данные
progress,[ˈprəʊgrəs] ,прогресс 
application ,[ˌæplɪˈkeɪʃ(ə)n],заявка
instruction,[ɪnˈstrʌkʃən] ,инструкция 
instrument,[ˈɪnstrʊmənt] ,инструмент 
file,[faɪl] ,"файл, документ, личное дело"
outcome,[ˈaʊtkʌm] ,итог (результат)
duty,[ˈdjuːti] ,долг (должностная обязанность)
manner (in that manner),[ˈmænə] ,способ выполнения действия
requirement,[rɪˈkwaɪəmənt] ,требование 
copy,[ˈkɒpi] ,"экземпляр книги, копия чего-либо"
tips (money),[tɪps] ,чаевые
achievement,[əˈʧiːvmənt] ,достижение 
characteristic,[ˌkærɪktəˈrɪstɪk] ,"характеристика, черта"
signal,[ˈsɪgnl] ,сигнал 
agenda,[əˈʤɛndə] ,повестка дня 
schedule,[ˈʃɛdjuːl] ,график 
print,[prɪnt] ,"печать (печатная продукция), отпечаток"
stamp,[stæmp] ,"печать, штамп"
pass,[pɑːs] ,пропуск
employer,[ɪmˈplɔɪə] ,работодатель 
prospect,[ˈprɒspɛkt] ,перспектива 
entry,[ˈɛntri] ,запись (напр.в журнале)
disorder,[dɪsˈɔːdə] ,беспорядок
distribution,[ˌdɪstrɪˈbjuːʃən] ,"распределение, распространение"
command,[kəˈmɑːnd] ,команда (приказ)
veteran,[ˈvɛtərən] ,ветеран 
recovery,[rɪˈkʌvəri] ,восстановление 
salary,[ˈsæləri] ,зарплата 
observer,[əbˈzɜːvə] ,наблюдатель 
award,[əˈwɔːd] ,награда 
routine,[ruːˈtiːn] ,заведенный порядок (определенная последовательность действий)
wage,[weɪʤ] ,зарплата
pay,[peɪ] ,оплата
recommendation,[ˌrɛkəmɛnˈdeɪʃən] ,рекомендация 
delivery,[dɪˈlɪvəri] ,доставка 
craft,[krɑːft] ,ремесло 
headquarters,[ˈhɛdˈkwɔːtəz] ,"штаб, главный офис"
earnings,[ˈɜːnɪŋz] ,заработки
"load, cargo","[ləʊd], [ˈkɑːgəʊ] ",груз
sheet,[ʃiːt] ,лист (бумаги)
possibility,[ˌpɒsəˈbɪlɪti] ,возможность 
advantage,[ədˈvɑːntɪʤ] ,преимущество 
project,[ˈprɒʤɛkt] ,проект 
use,[juːs] ,использование 
reputation,[ˌrɛpju(ː)ˈteɪʃən] ,репутация 
career,[kəˈrɪə] ,карьера 
"Профессии, должности",,
director,[dɪˈrɛktə] ,"директор, режиссер"
position,[pəˈzɪʃən] ,положение (должность )
worker,[ˈwɜːkə] ,работник 
staff,[stɑːf] ,персонал 
lawyer,[ˈlɔːjə] ,адвокат 
executive,[ɪgˈzɛkjʊtɪv] ,"управленец, топ-менеджер"
manager,[ˈmænɪʤə] ,менеджер 
employee,[ˌɛmplɔɪˈiː] ,сотрудник 
agent,[ˈeɪʤənt] ,агент 
farmer,[ˈfɑːmə] ,фермер 
analyst,[ˈænəlɪst] ,аналитик 
engineer,[ˌɛnʤɪˈnɪə] ,инженер 
secretary,[ˈsɛkrətri] ,секретарь 
physician,[fɪˈzɪʃən] ,врач 
journalist,[ˈʤɜːnəlɪst] ,журналист 
designer,[dɪˈzaɪnə] ,дизайнер 
retirement,[rɪˈtaɪəmənt] ,выход на пенсию 
consultant,[kənˈsʌltənt] ,консультант 
doctor ,[ˈdɒktə]  ,врач 
teacher,[ˈtiːʧə] ,учитель
driver,[ˈdraɪvə] ,водитель
cook,[kʊk] ,повар
artist,[ˈɑːtɪst] ,художник
administrator,[ədˈmɪnɪstreɪtə] ,администратор 
CEO,[siː-iː-əʊ] ,генеральный директор 
deputy,[ˈdɛpjʊti] ,заместитель 
assistant,[əˈsɪstənt] ,ассистент
correspondent,[ˌkɒrɪsˈpɒndənt] ,корреспондент 
counselor,[ˈkaʊns(ə)lə] ,"советник, консультант"
editor,[ˈɛdɪtə] ,"редактор, главный редактор"
producer,[prəˈdjuːsə] ,производитель (продюсер)
master,[ˈmɑːstə] ,мастер (капитан корабля)
boss,[bɒs] ,босс 
personnel,[ˌpɜːsəˈnɛl] ,персонал 
dealer,[ˈdiːlə] ,"дилер, продавец"
head (of something),[hɛd] ,руководитель
reporter,[rɪˈpɔːtə] ,репортер 
chairman,[ˈʧeəmən] ,председатель 
chief,[ʧiːf] ,шеф (глава)
adviser,[ədˈvaɪzə] ,советник 
profession,[prəˈfɛʃən] ,профессия 
professional,[prəˈfɛʃənl] ,профессионал
Город,,
city,[ˈsɪti] ,большой город
town,[taʊn] ,маленький город
road,[rəʊd] ,дорога 
building,[ˈbɪldɪŋ] ,здание 
street,[striːt] ,улица 
bar,[bɑː] ,бар
station,[ˈsteɪʃən] ,станция 
trip,[trɪp] ,поездка 
hotel,[həʊˈtɛl] ,отель 
yard,[jɑːd] ,двор 
neighborhood,[ˈneɪbəhʊd] ,район (окрестность)
park,[pɑːk] ,парк 
village,[ˈvɪlɪʤ] ,деревня 
resident,[ˈrɛzɪdənt] ,житель 
club,[klʌb] ,клуб 
district,[ˈdɪstrɪkt] ,район 
crowd,[kraʊd] ,толпа 
block,[blɒk] ,квартал
shop,[ʃɒp] ,магазин 
construction,[kənˈstrʌkʃən] ,строительство 
tour,[tʊə] ,тур 
restaurant,[ˈrɛst(ə)ˌrɒŋ] ,ресторан 
bridge,[brɪʤ] ,мост 
traffic,[ˈtræfɪk] ,дорожное движение
museum,[mju(ː)ˈzɪəm] ,музей 
emergency,[ɪˈmɜːʤənsi] ,чрезвычайная ситуация
airport,[ˈeəpɔːt] ,аэропорт 
address,[əˈdrɛs] ,адрес 
beach,[biːʧ] ,пляж 
opening,[ˈəʊpnɪŋ] ,открытие 
route,[ruːt] ,маршрут 
post office,[pəʊst] ,почта
settlement,[ˈsɛtlmənt] ,поселение
"parking lot (Am.), car park (Br.)","[ˈpɑːkɪŋ lɒt], [kɑː pɑːk]",парковка 
stop,[stɒp] ,остановка
tower,[ˈtaʊə] ,башня 
mayor,[meə] ,мэр 
highway,[ˈhaɪweɪ] ,шоссе 
bench,[bɛnʧ] ,скамья 
sightseeing,[ˈsaɪtˌsiːɪŋz] ,осмотр достопримечательностей
column,[ˈkɒləm] ,колонна
resort,[rɪˈzɔːt] ,курорт 
Транспорт,,
car,[kɑː] ,автомобиль 
ship,[ʃɪp] ,корабль 
plane,[pleɪn] ,самолет 
driver,[ˈdraɪvə] ,водитель 
boat,[bəʊt] ,лодка 
truck,[trʌk] ,грузовик 
vehicle,[ˈviːɪkl] ,автомобиль 
flight,[flaɪt] ,полет 
bus,[bʌs] ,автобус 
fuel,[fjʊəl] ,топливо
engine,[ˈɛnʤɪn] ,двигатель 
ticket,[ˈtɪkɪt] ,билет 
train,[treɪn] ,поезд 
crew,[kruː] ,экипаж 
accident,[ˈæksɪdənt] ,авария 
pilot,[ˈpaɪlət] ,пилот 
wheel,[wiːl] ,колесо
ride,[raɪd] ,поездка 
passenger,[ˈpæsɪnʤə] ,пассажир 
airline,[ˈeəlaɪn] ,авиакомпания 
bike,[baɪk] ,велосипед (мотоцикл)
transportation,[ˌtrænspɔːˈteɪʃən] ,транспортировка
deck,[dɛk] ,палуба 
aircraft,[ˈeəkrɑːft] ,"самолет, воздушное судно"
crash,[kræʃ] ,авария
vessel,[ˈvɛsl] ,судно 
port,[pɔːt] ,порт 
Закон,,
victim,[ˈvɪktɪm] ,жертва 
threat,[θrɛt] ,угроза 
felony,[ˈfɛləni] ,"преступление (тяжелое, уголовное)"
misdemeanor,[ˌmɪsdɪˈmiːnə] ,мелкое преступление
attorney,[əˈtɜːni] ,адвокат 
judge,[ˈʤʌʤ] ,судья 
safety,[ˈseɪfti] ,безопасность 
investigation,[ɪnˌvɛstɪˈgeɪʃən] ,расследование 
murder,[ˈmɜːdə] ,убийство 
justice,[ˈʤʌstɪs] ,справедливость 
danger,[ˈdeɪnʤə] ,опасность 
jury,[ˈʤʊəri] ,жюри (присяжные)
judgment,[ˈʤʌʤmənt] ,суждение (решение суда)
witness,[ˈwɪtnɪs] ,свидетель 
incident,[ˈɪnsɪdənt] ,инцидент 
legislation,[ˌlɛʤɪsˈleɪʃən] ,"законодательство, законы"
sentence,[ˈsɛntəns] ,приговор
prosecutor,[ˈprɒsɪkjuːtə] ,прокурор 
investigator,[ɪnˈvɛstɪgeɪtə] ,следователь 
lawyer,[ˈlɔːjə] ,адвокат
suicide,[ˈsjʊɪsaɪd] ,самоубийство 
enforcement,[ɪnˈfɔːsmənt] ,принуждение к исполнению закона
prisoner,[ˈprɪznə] ,"заключенный, пленник"
inmate,[ˈɪnmeɪt] ,заключенный
jail,[ʤeɪl] ,тюрьма 
killer,[ˈkɪlə] ,убийца 
gang,[gæŋ] ,банда 
advocate,[ˈædvəkɪt] ,адвокат
lawsuit,[ˈlɔːsjuːt] ,иск 
testimony,[ˈtɛstɪməni] ,"свидетельство, показания"
penalty,[ˈpɛnlti] ,карательная мера
offense,[əˈfɛns] ,правонарушение
terrorist,[ˈtɛrərɪst] ,террорист 
assault,[əˈsɔːlt] ,нападение 
proof,[pruːf] ,доказательство 
violation,[ˌvaɪəˈleɪʃən] ,нарушение 
crime,[kraɪm] ,преступление 
cell (prison),[sɛl] ,"камера (тюремная), клетка"
trial,[ˈtraɪəl] ,испытание (судебный процесс)
prison,[ˈprɪzn] ,тюрьма 
evidence,[ˈɛvɪdəns] ,улика 
gun,[gʌn] ,пистолет
protection,[prəˈtɛkʃən] ,защита 
court ,[kɔːt]  ,суд
security,[sɪˈkjʊərɪti] ,безопасность (охрана)
officer,[ˈɒfɪsə] ,"офицер, должностное лицо"
cop,[kɒp] ,коп (полицейский)
police,[pəˈliːs] ,полиция 
guard,[gɑːd] ,охранник 
law,[lɔː] ,закон 
will,[wɪl],завещание
violence,[ˈvaɪələns] ,насилие 
responsibility,[rɪsˌpɒnsəˈbɪlɪti] ,ответственность 
"Дом, быт",,
home,[həʊm] ,дом
room,[ruːm] ,комната
house,[haʊs] ,дом (здание)
door,[dɔː] ,дверь 
view,[vjuː] ,вид 
table,[ˈteɪbl] ,стол 
court,[kɔːt] ,дворик 
wall,[wɔːl] ,стена 
window,[ˈwɪndəʊ] ,окно 
floor,[flɔː] ,пол (этаж)
bed,[bɛd] ,кровать 
chair,[ʧeə] ,стул 
garden,[ˈgɑːdn] ,сад 
kitchen,[ˈkɪʧɪn] ,кухня 
bedroom,[ˈbɛdru(ː)m] ,спальня
living room,[ˈlɪvɪŋ ruːm] ,гостиная
bathroom,[ˈbɑːθru(ː)m] ,"туалет, ванная"
basement,[ˈbeɪsmənt] ,подвал
fan,[fæn] ,вентилятор 
spot,[spɒt] ,пятно 
screen,[skriːn] ,экран 
flat (Br.) apartment (Am.),[flæt] [əˈpɑːtmənt] ,квартира 
living,[ˈlɪvɪŋ] ,проживание
key,[kiː] ,ключ 
pool,[puːl] ,бассейн 
desk,[dɛsk] ,"стол (письменный, рабочий)"
visitor,[ˈvɪzɪtə] ,посетитель 
guest,[gɛst],гость
hall,[hɔːl] ,зал 
mirror,[ˈmɪrə] ,зеркало 
telephone,[ˈtɛlɪfəʊn] ,телефон 
household,[ˈhaʊshəʊld] ,домашнее хозяйство
gate,[geɪt] ,ворота 
roof,[ruːf] ,крыша 
housing,[ˈhaʊzɪŋ] ,жилье
"dormitory, dorm",['dɔːmɪt(ə)rɪ] [dɔːm],общежитие (студенческое)
pot,[pɒt] ,горшок 
knife,[naɪf] ,нож 
recipe,[ˈrɛsɪpi] ,рецепт 
roll,[rəʊl] ,рулон
clock,[klɒk] ,часы (настенные)
ceiling,[ˈsiːlɪŋ] ,потолок 
fence,[fɛns] ,забор 
furniture,[ˈfɜːnɪʧə] ,мебель 
wardrobe,[ˈwɔːdrəʊb],шкаф (для одежды)
stair,[steə] ,"ступенька, лестница"
entrance,[ˈɛntrəns] ,вход 
exit,[ˈɛksɪt],выход
oven,[ˈʌvn] ,печь 
comfort,[ˈkʌmfət] ,комфорт 
shelf,[ʃɛlf] ,полка 
can,[kæn] ,консервная банка
lawn,[lɔːn] ,газон 
case,[keɪs] ,кейс (футляр)
card,[kɑːd] ,карточка
stuff,[stʌf] ,"вещи, хлам, барахло"
box,[bɒks] ,коробка 
item,[ˈaɪtəm] ,предмет
collection,[kəˈlɛkʃən] ,коллекция 
tape,[teɪp] ,лента 
cover,[ˈkʌvə] ,"крышка, покрытие, обложка"
lid,[lɪd],крышка
bowl,[bəʊl] ,чаша 
frame,[freɪm] ,рамка 
album,[ˈælbəm] ,альбом 
tube,[tjuːb] ,тюбик (трубка)
pack,[pæk] ,упаковка 
a bunch of ,[ə bʌnʧ ɒv]  ,куча чего-то
match,[mæʧ] ,спичка
cigarette,[ˌsɪgəˈrɛt] ,сигарета
thing,[θɪŋ] ,вещь 
glass,[glɑːs] ,стакан
Еда,,
breakfast,[ˈbrɛkfəst] ,завтрак 
lunch,[lʌnʧ] ,обед (ланч)
dinner,[ˈdɪnə] ,обед 
supper,[ˈsʌpə] ,ужин
food,[fuːd] ,еда 
coffee,[ˈkɒfi] ,кофе 
wine,[waɪn] ,вино 
salt,[sɔːlt] ,соль 
fat,[fæt] ,жир 
sugar,[ˈʃʊgə] ,сахар 
fruit,[fruːt] ,фрукты 
meal,[miːl] ,еда (блюдо)
bottle,[ˈbɒtl] ,бутылка 
meat,[miːt] ,мясо 
beer,[bɪə] ,пиво 
pepper,[ˈpɛpə] ,перец 
vegetables,[ˈvɛʤɪtəblz] ,овощи
dish,[dɪʃ] ,блюдо 
cream,[kriːm] ,сливки
drink,[drɪŋk] ,напиток 
taste,[teɪst] ,вкус 
milk,[mɪlk] ,молоко 
cheese,[ʧiːz] ,сыр 
bread,[brɛd] ,хлеб 
tea,[tiː] ,чай 
alcohol,[ˈælkəhɒl] ,алкоголь 
potato,[pəˈteɪtəʊ] ,картофель 
sauce,[sɔːs] ,соус 
juice,[ʤuːs] ,сок 
beans,[biːnz] ,бобы
tomato,[təˈmɑːtəʊ] ,помидор
butter,[ˈbʌtə] ,сливочное масло
spoon,[spuːn] , ложка
fork,[fɔːk],вилка
knife,[naɪf],нож
corn,[kɔːn] ,кукуруза 
cake,[keɪk] ,"пирог, торт"
onion,[ˈʌnjən] ,лук 
ingredient,[ɪnˈgriːdjənt] ,ингредиент 
chocolate,[ˈʧɒkəlɪt] ,шоколад 
apple,[ˈæpl] ,яблоко 
rice,[raɪs] ,рис
salad,[ˈsæləd] ,салат 
honey,[ˈhʌni] ,мед 
garlic,[ˈgɑːlɪk] ,чеснок 
cup,[kʌp] ,чашка 
plate,[pleɪt] ,тарелка
Одежда,,
shoes,[ʃuːz] ,обувь
clothes,[kləʊðz] ,одежда 
ring,[rɪŋ] ,кольцо 
dress,[drɛs] ,платье 
shirt,[ʃɜːt] ,рубашка 
fashion,[ˈfæʃən] ,мода 
tie,[taɪ] ,галстук 
hat,[hæt] ,шляпа 
coat,[kəʊt] ,пальто 
jacket,[ˈʤækɪt] ,куртка (пиджак)
cap,[ˈkæp] ,кепка
boots,[buːts] ,ботинки
belt,[bɛlt] ,ремень 
watch,[wɒʧ] ,наручные часы
label,[ˈleɪbl] ,этикетка 
button,[ˈbʌtn] ,кнопка (пуговица)
"pants, trousers",[pænts] [ˈtraʊzəz],брюки
glasses,[ˈglɑːsɪz] ,очки
bag,[bæg] ,сумка 
purse,[pɜːs] ,"дамская сумочка, кошелек"
suit,[sjuːt] ,костюм 
pocket,[ˈpɒkɪt] ,карман 
skirt,[skɜːt] ,юбка
T-shirt,[ˈtiːʃɜːt] ,футболка
zip,[zɪp] ,молния (застежка)
gloves,[glʌvz] ,перчатки
Медицина,,
health,[hɛlθ] ,здоровье 
care,[keə] ,уход 
drug,[drʌg] ,лекарство (наркотик)
doctor,[ˈdɒktə] ,доктор
patient,[ˈpeɪʃənt] ,пациент 
hospital,[ˈhɒspɪtl] ,больница 
blood,[blʌd] ,кровь 
treatment,[ˈtriːtmənt] ,лечение 
pain,[peɪn] ,боль 
disease,[dɪˈziːz] ,болезнь 
cancer,[ˈkænsə] ,рак (болезнь)
pills,[pɪlz] ,таблетки
medicine,[ˈmɛdsɪn] ,"медицина, лекарство"
cut,[kʌt] ,порез
injury,[ˈɪnʤəri] ,травма
aid (first aid),[eɪd],помощь (напр. первая помощь)
surgery,[ˈsɜːʤəri] ,хирургия (операция)
nurse,[nɜːs] ,медсестра (сиделка)
abortion,[əˈbɔːʃ(ə)n] ,аборт 
diet,[ˈdaɪət] ,диета 
therapy,[ˈθɛrəpi] ,терапия 
symptom,[ˈsɪmptəm] ,симптом 
shock,[ʃɒk] ,шок 
illness,[ˈɪlnɪs] ,болезнь 
clinic,[ˈklɪnɪk] ,клиника 
protein,[ˈprəʊtiːn] ,белок 
survival,[səˈvaɪvəl] ,выживание 
infection,[ɪnˈfɛkʃən] ,инфекция 
virus,[ˈvaɪərəs] ,вирус 
disability,[ˌdɪsəˈbɪlɪti] ,инвалидность 
insurance,[ɪnˈʃʊərəns] ,страховка
Информационные технологии,,
system,[ˈsɪstɪm] ,система 
programme (Br.) program (Am.),[ˈprəʊgræm],программа 
phone,[fəʊn] ,телефон 
data,[ˈdeɪtə] ,данные 
computer,[kəmˈpjuːtə] ,компьютер 
call,[kɔːl] ,телефонный звонок
message,[ˈmɛsɪʤ] ,сообщение 
network,[ˈnɛtwɜːk] ,компьютерная сеть
radio,[ˈreɪdɪəʊ] ,радио (рация)
communication,[kəˌmjuːnɪˈkeɪʃən] ,связь (коммуникация)
connection,[kəˈnɛkʃən] ,подключение (связь)
Internet,[ˈɪntəˌnɛt] ,интернет 
device,[dɪˈvaɪs] ,устройство 
application,[ˌæplɪˈkeɪʃ(ə)n] ,"приложение, программа"
hardware,[ˈhɑːdweə] ,"компьютерное ""железо"""
software,[ˈsɒftweə] ,программное обеспечение 
email,['iːmeɪl],электронная почта
settings,[ˈsɛtɪŋz] ,настройки
user,[ˈjuːzə] ,пользователь 
resolution,[ˌrɛzəˈluːʃən] ,разрешение (экрана)
chip,[ʧɪp],чип (комп.)
link,[lɪŋk],ссылка (в интернете) 
display,[dɪsˈpleɪ] ,дисплей 
keyboard,[ˈkiːbɔːd] ,клавиатура
laptop,[ˈlæpˌtɒp] ,ноутбук
PC (personal computer),[piː-siː] [ˈpɜːsnl kəmˈpjuːtə],"ПК, персональный компьютер"
tablet,[ˈtæblɪt] ,планшетный компьютер
mail,[meɪl] ,почта 
net,[nɛt] ,сеть
content,[ˈkɒntɛnt] ,содержание (контент)